rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n0,true,0.8034843758039889,0.746446853383712,0,433,false,117,37,0.4980477120012749,0.4450878813640151,null
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n1,true,0.1487830978779713,0.7542458758323816,0,3319,false,103,17,0.24486701391518495,0.219915457707192,null
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n2,false,0.6127280240092546,0.8003528173131926,0,16,false,102,25,0.4121270694795848,0.8972759475418117,null
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n3,true,0.007503899658637282,0.734053548110419,0,432,false,112,26,0.5144337102074323,0.07595471670217813,null
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n4,true,0.8452369592324216,0.7797815630082817,0,786,false,45,39,0.3302299236162659,0.840575071327416,null
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n6,true,0.4821873842855731,0.8436641981430812,0,190,false,103,39,0.8462237315786152,0.7929599181749184,null
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n9,true,0.4609397027578726,0.3467547303406848,0,431,false,112,25,0.6984883332339332,0.36557837127056514,null
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n10,true,0.413870732372015,0.6052875139547479,0,84,false,70,38,0.6179265606682179,0.4620361204540254,null
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n12,true,0.8743961788757192,0.46931172469547855,0,308,false,112,26,0.08411280914527236,0.5597288968719627,null
3237594,962098,2701597,446818,89179,2598279,103318,183933,270,76208,12971,1186158,1412121,53102,50216,34028,0,53602,22606,9901,3070,28233,933865,9452,11286,7495,3312,6140,1243,2069,4280,1860,8518,2768,1506,7012,2768,0,175,7320,15,160,7320,0,186485,747380,48311,138174,274752,472628,n13,false,0.8293633502448142,0.770227106546004,0,1906,false,110,22,0.032908705347140965,0.05722521380729462,null
