rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n0,false,0.8347043162120569,0.746446853383712,0,4057,false,501,3,0.4980477120012749,0.4450878813640151,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n1,true,0.14975632812276357,0.7542458758323816,9,9473,false,0,1,0.24486701391518495,0.219915457707192,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n2,true,0.6298810676688015,0.8003528173131926,9,7300,false,500,3,0.4121270694795848,0.8972759475418117,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n3,false,0.00762157287772976,0.734053548110419,0,62,false,501,2,0.5144337102074323,0.07595471670217813,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n4,false,0.8880044616624257,0.7797815630082817,0,15800,false,0,0,0.3302299236162659,0.840575071327416,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n6,true,0.49525989774523954,0.8436641981430812,9,8478,false,500,1,0.8462237315786152,0.7929599181749184,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n9,false,0.48795683751353663,0.3467547303406848,0,11952,false,501,2,0.6984883332339332,0.36557837127056514,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n10,false,0.45647466335036757,0.6052875139547479,0,12166,false,501,2,0.6179265606682179,0.4620361204540254,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n12,false,0.8844920360487776,0.46931172469547855,0,10944,false,502,4,0.08411280914527236,0.5597288968719627,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n13,false,0.8312980102643047,0.770227106546004,0,15800,false,0,0,0.032908705347140965,0.05722521380729462,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n15,true,0.29646530251618247,0.7453848249619409,9,5375,false,500,2,0.3777788934913462,0.8952486235541306,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n19,true,0.5763257954762921,0.8660997797776264,8,8466,false,500,2,0.025086569532347502,0.8345130043941151,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n23,false,0.3462404994008001,0.6869305902518238,0,15800,false,0,0,0.7357288745401944,0.6071228680604048,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n26,false,0.6642499843091678,0.7283967725978981,0,10370,false,501,2,0.8628953556936059,0.5069426793701881,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n29,false,0.029303208475813015,0.6845589457431854,0,15800,false,0,0,0.5402437750472555,0.7207749337085737,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n35,false,0.09516687469303649,0.9640997661167149,0,7606,false,500,2,0.06949560417371914,0.36943808839464876,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n36,false,0.48251194047367774,0.6715736316996999,0,121,false,501,4,0.47895824116147556,0.47494003247339733,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n37,true,0.7447518960032298,0.594046994672088,8,5718,false,0,1,0.22258278951592947,0.9176479534733712,null
5820115,20952897,346757,5055745,417613,236929,109828,3255090,0,250558,167055,55537,181392,893471,1017012,686503,0,67731,182827,58860,108195,484162,20468735,192508,289709,1945,79942,112566,35402,44540,74563,38003,289479,230,110937,178542,230,0,3,1942,0,3,1942,0,8804740,11663995,2922069,5882671,5249802,6414193,n39,false,0.8927100348033083,0.8209471485134687,0,15800,false,500,0,0.6282187731189162,0.8741847330930175,null
