rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n0,false,0.8192814233360434,0.746446853383712,0,357,false,501,3,0.4980477120012749,0.4450878813640151,null
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n1,true,0.14975632812276357,0.7542458758323816,8,5773,false,0,1,0.24486701391518495,0.219915457707192,null
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n2,true,0.6298810676688015,0.8003528173131926,9,3600,false,500,3,0.4121270694795848,0.8972759475418117,null
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n3,true,0.007619058186200468,0.734053548110419,8,5499,false,500,1,0.5144337102074323,0.07595471670217813,null
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n4,false,0.8768858553561848,0.7797815630082817,0,12100,false,0,0,0.3302299236162659,0.840575071327416,null
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n6,true,0.49525989774523954,0.8436641981430812,9,4778,false,500,1,0.8462237315786152,0.7929599181749184,null
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n9,false,0.4755143609763536,0.3467547303406848,0,8252,false,501,2,0.6984883332339332,0.36557837127056514,null
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n10,false,0.4462696249354524,0.6052875139547479,0,8466,false,501,2,0.6179265606682179,0.4620361204540254,null
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n12,false,0.8818866424144346,0.46931172469547855,0,7244,false,502,4,0.08411280914527236,0.5597288968719627,null
5626907,20420905,342677,4870690,413540,236564,106113,3139485,0,249550,163990,55521,181043,856964,980354,664327,0,67729,181821,58857,105133,483116,19937789,192508,288678,1930,79942,112566,35402,44540,74563,38003,288453,225,109928,178525,225,0,3,1927,0,3,1927,0,8586666,11351123,2863017,5723649,5100362,6250761,n13,false,0.8303757860131732,0.770227106546004,0,12100,false,0,0,0.032908705347140965,0.05722521380729462,null
