rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n0,false,0.7801669129599611,0.746446853383712,0,800,false,100,0,0.4980477120012749,0.4450878813640151,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n1,false,0.147774809947698,0.7542458758323816,0,800,false,100,0,0.24486701391518495,0.219915457707192,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n2,false,0.6121339695104346,0.8003528173131926,0,800,false,100,0,0.4121270694795848,0.8972759475418117,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n3,false,0.007391812109633245,0.734053548110419,0,800,false,100,0,0.5144337102074323,0.07595471670217813,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n4,false,0.8445863813762302,0.7797815630082817,0,800,false,100,0,0.3302299236162659,0.840575071327416,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n6,false,0.4685406892817818,0.8436641981430812,0,800,false,0,0,0.8462237315786152,0.7929599181749184,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n9,false,0.4395262651925175,0.3467547303406848,0,800,false,100,0,0.6984883332339332,0.36557837127056514,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n10,false,0.4159618965443617,0.6052875139547479,0,800,false,0,0,0.6179265606682179,0.4620361204540254,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n12,true,0.8731379609782763,0.46931172469547855,11,466,false,0,1,0.08411280914527236,0.5597288968719627,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n13,true,0.8269616927067717,0.770227106546004,14,218,false,101,3,0.032908705347140965,0.05722521380729462,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n15,true,0.2863401276367863,0.7453848249619409,13,157,false,0,1,0.3777788934913462,0.8952486235541306,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n19,false,0.5756288664754808,0.8660997797776264,0,800,false,100,1,0.025086569532347502,0.8345130043941151,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n23,true,0.30812458616394534,0.6869305902518238,11,800,false,0,0,0.7357288745401944,0.6071228680604048,null
8244434,3981262,7357848,718788,167798,7150357,207491,256300,468,138607,29191,3269133,3881224,114315,93176,28107,0,100357,38250,16635,12556,60203,3921059,15851,25074,19278,5826,10025,2289,3537,6813,3212,19796,5278,3171,16625,5278,0,468,18810,226,242,18810,0,1203900,2717159,312142,891758,968713,1748446,n26,true,0.5848171286792349,0.7283967725978981,19,800,false,0,0,0.8628953556936059,0.5069426793701881,null
