rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n0,true,0.7771457452988876,0.746446853383712,12,25999,false,0,0,0.4980477120012749,0.4450878813640151,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n1,true,0.1493898760232863,0.7542458758323816,12,20753,false,500,1,0.24486701391518495,0.219915457707192,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n2,true,0.6101721796345212,0.8003528173131926,12,25999,false,0,0,0.4121270694795848,0.8972759475418117,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n3,false,0.00842195733309257,0.734053548110419,0,25999,false,0,0,0.5144337102074323,0.07595471670217813,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n4,true,0.8424270162034311,0.7797815630082817,10,25999,false,0,0,0.3302299236162659,0.840575071327416,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n6,true,0.46540732113002037,0.8436641981430812,10,25999,false,0,0,0.8462237315786152,0.7929599181749184,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n9,false,0.5241702815259613,0.3467547303406848,0,25999,false,0,0,0.6984883332339332,0.36557837127056514,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n10,true,0.41384176336585166,0.6052875139547479,11,14255,false,1,2,0.6179265606682179,0.4620361204540254,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n12,false,0.8927561391800033,0.46931172469547855,0,11877,false,501,4,0.08411280914527236,0.5597288968719627,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n13,false,0.83417092696691,0.770227106546004,0,671,false,503,8,0.032908705347140965,0.05722521380729462,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n15,true,0.29598246008115614,0.7453848249619409,10,16698,false,0,1,0.3777788934913462,0.8952486235541306,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n19,true,0.576158686063186,0.8660997797776264,12,21674,false,0,1,0.025086569532347502,0.8345130043941151,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n23,true,0.3254679287861164,0.6869305902518238,10,1770,false,502,6,0.7357288745401944,0.6071228680604048,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n26,true,0.5848171286792349,0.7283967725978981,11,25999,false,0,0,0.8628953556936059,0.5069426793701881,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n29,true,0.027261007249739455,0.6845589457431854,10,2561,false,500,4,0.5402437750472555,0.7207749337085737,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n35,true,0.09416343844601593,0.9640997661167149,10,25999,false,0,0,0.06949560417371914,0.36943808839464876,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n36,true,0.5148241281339383,0.6715736316996999,11,4375,false,500,3,0.47895824116147556,0.47494003247339733,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n37,true,0.7301728130009544,0.594046994672088,10,16573,false,500,3,0.22258278951592947,0.9176479534733712,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n39,true,0.8091645619294809,0.8209471485134687,11,25999,false,0,0,0.6282187731189162,0.8741847330930175,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n45,false,0.5422342374244862,0.5217542564532285,0,2187,false,501,3,0.5718414816600195,0.5195569796655163,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n46,true,0.12358463899022289,0.5737464924266803,12,15684,false,5,2,0.4548321788886257,0.8787689766806486,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n47,true,0.5063591608500981,0.6467698614541888,11,63,false,52,11,0.2790971915137339,0.9147152123803776,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n49,true,0.24126465578182754,0.7182334817296608,12,11571,false,0,1,0.3207904885745507,0.863332926291588,null
10952291,29579725,656460,9414491,881340,439617,216843,6090090,0,522608,358732,177267,262350,1823308,1717936,1284527,0,147389,375219,113162,245570,645028,28934697,215359,423618,6051,91998,123361,42183,49815,82336,41025,419394,4224,160949,258445,4224,0,350,5701,344,6,5701,0,12260883,16673814,4100468,8160415,7443250,9230564,n51,false,0.16980742781820746,0.9004304758613412,0,13809,false,502,4,0.6206798048686,0.9598607358584166,null
