rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n0,false,0.7988616440364641,0.746446853383712,0,698,false,501,2,0.4980477120012749,0.4450878813640151,null
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n1,false,0.14950644501468197,0.7542458758323816,0,5499,false,500,0,0.24486701391518495,0.219915457707192,null
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n2,false,0.6240878016763713,0.8003528173131926,0,571,false,501,2,0.4121270694795848,0.8972759475418117,null
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n3,false,0.007573026541263555,0.734053548110419,0,5499,false,0,0,0.5144337102074323,0.07595471670217813,null
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n4,false,0.8584057904052719,0.7797815630082817,0,5499,false,500,0,0.3302299236162659,0.840575071327416,null
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n6,false,0.4875206992223317,0.8436641981430812,0,5499,false,500,0,0.8462237315786152,0.7929599181749184,null
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n9,false,0.45417260493536915,0.3467547303406848,0,912,false,501,2,0.6984883332339332,0.36557837127056514,null
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n10,false,0.428304124720423,0.6052875139547479,0,5499,false,500,0,0.6179265606682179,0.4620361204540254,null
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n12,false,0.8769443650031046,0.46931172469547855,0,5499,false,500,0,0.08411280914527236,0.5597288968719627,null
43542,1034262,14601,2944,25997,8611,5990,1763,0,18661,7336,52,8559,6124,1047,6,0,10806,7855,4,7332,91604,942658,65023,25647,934,33793,31230,17473,16320,20818,10412,25646,1,8768,16878,1,0,0,934,0,0,934,0,389894,552764,138314,251580,243373,309391,n13,false,0.8285178352239935,0.770227106546004,0,5499,false,500,0,0.032908705347140965,0.05722521380729462,null
