rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n0,false,0.8390225002264527,0.746446853383712,0,8241,false,502,4,0.4980477120012749,0.4450878813640151,null
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n1,false,0.15314870569494377,0.7542458758323816,0,5584,false,501,2,0.24486701391518495,0.219915457707192,null
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n2,true,0.6309022968645944,0.8003528173131926,0,7102,false,501,3,0.4121270694795848,0.8972759475418117,null
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n3,false,0.007965363203819758,0.734053548110419,0,3314,false,500,2,0.5144337102074323,0.07595471670217813,null
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n4,false,0.8868330749152925,0.7797815630082817,0,15299,false,500,0,0.3302299236162659,0.840575071327416,null
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n6,true,0.5175222144448782,0.8436641981430812,0,2762,false,501,3,0.8462237315786152,0.7929599181749184,null
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n9,false,0.4862568447659865,0.3467547303406848,0,2796,false,504,8,0.6984883332339332,0.36557837127056514,null
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n10,false,0.4550253867383965,0.6052875139547479,0,15299,false,500,0,0.6179265606682179,0.4620361204540254,null
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n12,false,0.8844035917096844,0.46931172469547855,0,15299,false,500,0,0.08411280914527236,0.5597288968719627,null
186895,2811709,157954,2944,25997,130670,27284,1763,0,18661,7336,28789,101881,10177,18288,6,0,10806,7855,4,7332,97076,2714633,65023,31057,996,33793,31230,17473,16320,20818,10412,31056,1,9304,21752,1,0,0,996,0,0,996,0,1160615,1554018,400540,760075,677877,876141,n13,false,0.8311816372710314,0.770227106546004,0,4402,false,503,6,0.032908705347140965,0.05722521380729462,null
