rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n0,true,0.7895536821167697,0.746446853383712,0,16,false,20,29,0.4980477120012749,0.4450878813640151,null
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n1,true,0.14786350093572007,0.7542458758323816,0,412,false,19,28,0.24486701391518495,0.219915457707192,null
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n2,true,0.6319315006568376,0.8003528173131926,0,1453,false,14,11,0.4121270694795848,0.8972759475418117,null
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n3,true,0.007404536894878196,0.734053548110419,0,1552,false,26,35,0.5144337102074323,0.07595471670217813,null
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n4,false,0.8554237445912799,0.7797815630082817,0,1264,false,18,16,0.3302299236162659,0.840575071327416,null
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n6,false,0.49996726312594525,0.8436641981430812,0,262,false,18,20,0.8462237315786152,0.7929599181749184,null
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n9,false,0.46623377952098516,0.3467547303406848,0,465,false,16,12,0.6984883332339332,0.36557837127056514,null
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n10,true,0.4356039370418767,0.6052875139547479,0,753,false,27,35,0.6179265606682179,0.4620361204540254,null
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n12,false,0.8740901953806882,0.46931172469547855,0,608,false,14,17,0.08411280914527236,0.5597288968719627,null
2365637,1024967,2097639,214167,53831,2013441,84198,79486,136,41094,12737,1081478,931963,57927,26271,7592,0,32563,8531,9759,2978,4154,1020813,516,1447,2191,180,336,61,119,215,121,738,709,169,569,709,0,7,2184,5,2,2184,0,336441,684372,55352,281089,290962,393410,n13,true,0.8292057870479893,0.770227106546004,0,603,false,23,28,0.032908705347140965,0.05722521380729462,null
