rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n0,false,0.822968248482308,0.746446853383712,0,492,false,116,48,0.4980477120012749,0.4450878813640151,null
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n1,false,0.14747070869154322,0.7542458758323816,0,26900,false,0,0,0.24486701391518495,0.219915457707192,null
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n2,false,0.6421878889165759,0.8003528173131926,0,340,false,114,30,0.4121270694795848,0.8972759475418117,null
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n3,false,0.007366870085179432,0.734053548110419,0,26900,false,100,0,0.5144337102074323,0.07595471670217813,null
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n4,false,0.8803123699806596,0.7797815630082817,0,1698,false,112,29,0.3302299236162659,0.840575071327416,null
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n6,true,0.5154201897026472,0.8436641981430812,0,2410,false,109,24,0.8462237315786152,0.7929599181749184,null
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n9,false,0.4597520168066841,0.3467547303406848,0,28,false,111,37,0.6984883332339332,0.36557837127056514,null
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n10,false,0.4527604762175306,0.6052875139547479,0,796,false,120,40,0.6179265606682179,0.4620361204540254,null
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n12,false,0.8765498304377595,0.46931172469547855,0,188,false,105,50,0.08411280914527236,0.5597288968719627,null
8212460,8819940,6589446,1359303,263711,6419643,169803,632384,730,206441,57270,3590382,2829261,127760,42043,76390,0,173077,33364,34394,22876,60807,8759133,8069,30127,22611,2210,5859,635,1575,4458,1401,22356,7771,7794,14562,7771,0,335,22276,272,63,22276,0,2140365,6618768,587942,1552423,6618768,0,n13,false,0.8303508752378099,0.770227106546004,0,28,false,113,27,0.032908705347140965,0.05722521380729462,null
